,chapter_number,word,count
894,2,mouse,16
895,2,afraid,2
896,2,dinner,1
897,2,its,3
898,2,passion,1
899,2,ii,1
900,2,fire,1
901,2,found,2
902,2,dressed,1
903,2,just,4
904,2,called,1
905,2,when,6
906,2,rather,2
907,2,inches,1
908,2,splendidly,1
909,2,multiplication,1
910,2,suppose,1
911,2,or,3
912,2,deep,1
913,2,goes,1
914,2,mind,1
915,2,led,1
916,2,est,1
917,2,hot,1
918,2,trying,2
919,2,against,1
920,2,ashamed,1
921,2,away,3
922,2,struck,1
923,2,way,8
924,2,bathing,1
925,2,seven,1
926,2,lesson-book,1
927,2,let,6
928,2,carrier,1
929,2,and,79
930,2,low,3
931,2,pardon,2
932,2,doth,2
933,2,sure,5
934,2,along,1
935,2,after,3
936,2,gently,1
937,2,took,2
938,2,yesterday,1
939,2,conversation,1
940,2,near,3
941,2,sir,1
942,2,bristling,1
943,2,began,6
944,2,ll,12
945,2,returning,1
946,2,beg,3
947,2,too,2
948,2,key,2
949,2,telescope,1
950,2,yourself,1
951,2,house,2
952,2,same,5
953,2,inquisitively,1
954,2,used,2
955,2,coast,1
956,2,an,1
957,2,fondofof,1
958,2,out,9
959,2,know,6
960,2,seemed,3
961,2,odd,1
962,2,machines,1
963,2,passionate,1
964,2,us,1
965,2,largest,1
966,2,looked,3
967,2,not,9
968,2,never,4
969,2,rapidly,1
970,2,as,23
971,2,paws,1
972,2,while,1
973,2,five,1
974,2,pounds,1
975,2,sat,1
976,2,fetch,1
977,2,forgot,2
978,2,heard,3
979,2,knows,1
980,2,besides,1
981,2,french,2
982,2,sorrowful,1
983,2,throw,1
984,2,dears,1
985,2,hand,1
986,2,for,16
987,2,lessons,2
988,2,remember,2
989,2,toys,1
990,2,round,2
991,2,mouseof,1
992,2,bright-eyed,1
993,2,felt,2
994,2,however,3
995,2,talk,4
996,2,alas,1
997,2,didn,1
998,2,four,4
999,2,hated,1
1000,2,walk,1
1001,2,answer,1
1002,2,soon,3
1003,2,number,1
1004,2,hoarse,1
1005,2,nurseand,1
1006,2,table,3
1007,2,play,1
1008,2,say,3
1009,2,shore,2
1010,2,clear,1
1011,2,tail,2
1012,2,gallons,1
1013,2,spread,1
1014,2,grin,1
1015,2,nonsense,1
1016,2,pour,1
1017,2,reaching,1
1018,2,existence,1
1019,2,think,4
1020,2,brother,1
1021,2,trembling,2
1022,2,twenty,1
1023,2,station,1
1024,2,leap,1
1025,2,turned,1
1026,2,fact,1
1027,2,went,9
1028,2,sounded,1
1029,2,thingsi,1
1030,2,certain,2
1031,2,person,1
1032,2,neatly,1
1033,2,perhaps,3
1034,2,hundred,1
1035,2,ago,1
1036,2,yet,1
1037,2,face,1
1038,2,escape,1
1039,2,digging,1
1040,2,lory,1
1041,2,timid,1
1042,2,how,13
1043,2,live,1
1044,2,nile,1
1045,2,animal,1
1046,2,whole,1
1047,2,on,17
1048,2,geography,1
1049,2,pair,2
1050,2,splashing,1
1051,2,cat,1
1052,2,about,11
1053,2,wherever,1
1054,2,alone,1
1055,2,tell,3
1056,2,nearer,1
1057,2,myself,1
1058,2,wooden,1
1059,2,cheerfully,1
1060,2,swam,5
1061,2,quiver,1
1062,2,use,2
1063,2,long,3
1064,2,themand,1
1065,2,am,4
1066,2,row,1
1067,2,change,2
1068,2,some,1
1069,2,putting,1
1070,2,miceoh,1
1071,2,claws,1
1072,2,stockings,1
1073,2,in,35
1074,2,several,1
1075,2,anything,1
1076,2,i,72
1077,2,so,15
1078,2,mabel,4
1079,2,why,1
1080,2,eaglet,1
1081,2,head,1
1082,2,conqueror,1
1083,2,world,1
1084,2,now,8
1085,2,chatte,1
1086,2,strange,1
1087,2,spades,1
1088,2,either,1
1089,2,take,1
1090,2,shedding,1
1091,2,had,11
1092,2,desperate,1
1093,2,crossed,1
1094,2,can,7
1095,2,curiouser,2
1096,2,ask,1
1097,2,ought,1
1098,2,feeling,1
1099,2,them,6
1100,2,burst,1
1101,2,holding,1
1102,2,happened,1
1103,2,soft,1
1104,2,child,1
1105,2,belongs,1
1106,2,splash,1
1107,2,houses,1
1108,2,eyes,3
1109,2,cats,7
1110,2,manage,2
1111,2,latin,1
1112,2,be,18
1113,2,andoh,2
1114,2,wrong,1
1115,2,directions,1
1116,2,purring,1
1117,2,duck,1
1118,2,fishes,1
1119,2,presents,1
1120,2,london,1
1121,2,waters,1
1122,2,always,1
1123,2,capital,3
1124,2,subject,2
1125,2,find,3
1126,2,shrill,1
1127,2,is,14
1128,2,welcome,1
1129,2,slipped,2
1130,2,salt,1
1131,2,curious,1
1132,2,tears,6
1133,2,do,5
1134,2,party,1
1135,2,paris,2
1136,2,said,12
1137,2,another,1
1138,2,ever,4
1139,2,sea,2
1140,2,hearthrug,1
1141,2,understand,2
1142,2,first,4
1143,2,somehow,1
1144,2,remembered,2
1145,2,two,1
1146,2,could,7
1147,2,children,2
1148,2,till,1
1149,2,seaside,1
1150,2,words,3
1151,2,best,1
1152,2,indeed,2
1153,2,every,2
1154,2,up,10
1155,2,give,1
1156,2,must,9
1157,2,smiling,1
1158,2,somebody,1
1159,2,still,1
1160,2,william,1
1161,2,esq,1
1162,2,look,3
1163,2,my,4
1164,2,licking,1
1165,2,show,2
1166,2,commotion,1
1167,2,their,3
1168,2,avoid,1
1169,2,frightened,1
1170,2,crying,1
1171,2,off,4
1172,2,garden,3
1173,2,go,10
1174,2,put,3
1175,2,shoes,1
1176,2,quiet,1
1177,2,nicely,1
1178,2,changed,3
1179,2,girl,1
1180,2,declare,1
1181,2,idea,1
1182,2,who,4
1183,2,fright,1
1184,2,history,2
1185,2,twelve,1
1186,2,opening,1
1187,2,christmas,1
1188,2,else,1
1189,2,thinking,1
1190,2,growing,1
1191,2,different,1
1192,2,learn,1
